EODDate,EODPrice
42874,123.22
42877,124.75
42878,122.93
42879,122.81
42880,123.63
42881,123.99
42884,123.99
42885,123.91
42886,122.46
42887,123.97
42888,124.13
42891,125.37
42892,124.62
42893,125.64
42894,142.34
42895,139.44
42898,139.08
42899,136.6
42900,136.67
42901,135.08
42902,134.87
42905,139.47
42906,138.38
42907,143.29
42908,142.27
42909,143.01
42912,142.73
42913,141.53
42914,143.95
42915,140.81
42916,140.9
42919,140.99
42920,140.99
42921,144.87
42922,142.2
42923,142.43
42926,143.81
42927,145.81
42928,149
42929,149.52
42930,151.83
42933,151.23
42934,153.75
42935,153.15
42936,152.11
42937,151.89
42940,152.26
42941,152.44
42942,155.79
42943,154.15
42944,157.56
42947,154.95
42948,154.73
42949,151.91
42950,153.32
42951,153.33
42954,158.84
42955,157.5
42956,157.49
42957,151.77
42958,151.7
42961,154.61
42962,157.75
42963,159.5
42964,163.92
42965,167.5
42968,169.25
42969,174.46
42970,175.8
42971,175
42972,171.74
42975,168.3
42976,167.41
42977,171.25
42978,171.74
42979,171.04
42982,171.04
42983,169.92
42984,168.14
42985,170.62
